Designator,Footprint,Quantity,Part,Part Number
"C1, C3, C4",0805,3,1uF,CL21B105KAFNNNE
C2,0805,1,100n,CC0805KRX7R9BB104
"D1, D2, D3, D4, D5, D6, D7",0805,7,LED,5988170107F,
J1,USB_C_Receptacle_6P,1,USBC,USB4135-GF-A,
"J2, J3",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,TS-102-G-A-1,
"R1, R2",0805,2,5K1,RC0805JR-075K1L
"R3, R6, R8, R9",0805,4,1K,RC0805FR-071KL
"R4, R5, R7",0805,3,100,RC0805FR-0710KL
"SW1, SW2, SW3",SW_SPDT_PCM12,3,SW_SPDT,PCM12SMTR
"TP1, TP2, TP3",TestPoint_Pad_D1.0mm,3,TestPoint,NC
U1,SOT-223-3_TabPin2,1,AP7361C-33E,AP7361C-33ER-13
