Designator,Mid X,Mid Y,Rotation,Layer
C1,122.3,-77.0,0.0,top
C2,122.3,-79.1,0.0,top
C3,131.9,-71.3,0.0,top
C4,131.9,-81.0,0.0,top
D1,116.6,-77.8,90.0,top
D2,125.7,-72.9,90.0,top
D3,147.775,-83.4,180.0,top
D4,147.675,-81.1,180.0,top
D5,121.2,-85.8,90.0,top
D6,111.2,-82.6,0.0,top
D7,135.825,-81.0,180.0,top
J1,106.4,-73.6,180.0,top
J2,149.475,-87.6,90.0,bottom
J3,103.8,-87.8,270.0,bottom
R1,105.7,-80.6,270.0,top
R2,107.8,-80.6,270.0,top
R3,114.3,-77.8,90.0,top
R4,125.7,-76.8,270.0,top
R5,147.675,-76.7,180.0,top
R6,147.675,-78.9,180.0,top
R7,122.2,-88.8,0.0,top
R8,109.8,-85.8,270.0,top
R9,140.0,-81.0,0.0,top
SW1,118.6,-73.37,180.0,top
SW2,140.4,-86.425,0.0,top
SW3,115.5,-86.47,0.0,top
U1,134.4,-76.2,0.0,top
